England : wales 0.6,scotland 0.5,english_people 0.49,cardiff 0.48,english_midlands 0.48,welsh_language 0.47,mandarin 0.46,gaelic_scots 0.46,yorkshire 0.45,mandarin_dialects 0.45,welsh_english 0.44,southern_england 0.44,british_english 0.44,netherlands_national_football_team 0.44,great_britain 0.43,west_country 0.43,manchester_united_kingdom 0.43,standard_cantonese 0.42,english 0.42,american_english 0.42
Lighting : led_lamp 0.39,solid-state_lighting 0.37,osram 0.36,philips 0.35,electronics 0.35,home_appliance 0.35,emergency_light 0.35,power_tool 0.35,consumer_product 0.34,consumer_electronics 0.34,color_kinetics 0.34,fluorescent_lamp 0.33,vari-lite 0.33,power_conversion 0.33,lightolier 0.33,major_appliance 0.33,toiletries 0.33,osram_sylvania_inc 0.33,automaker 0.32,components 0.32
Ireland : irish_people 0.63,republic_of_ireland 0.61,killarney 0.57,northern_ireland 0.56,dublin 0.56,gaelic_irish 0.55,ulster 0.53,county_tipperary 0.52,county_cork 0.52,galway 0.51,county_donegal 0.51,county_kildare 0.51,county_clare 0.5,connemara 0.5,straffan 0.5,portmarnock 0.5,cork 0.5,limerick 0.5,failte_ireland 0.5,david_townsend 0.5
Ernest_Jones : h_samuel 0.63,signet_group 0.45,signet_book_nal 0.42,topps_tiles 0.35,f_hinds 0.34,john_lewis_partnership 0.34,debenhams 0.34,35qrr 0.33,german_sleeper_and_dining_car_company 0.33,carpetright 0.33,marks_spencer 0.33,mothercare 0.33,aurum_press 0.33,primark 0.33,house_of_fraser 0.33,moss_bros_group 0.33,mappin_and_webb 0.32,hmv_group_plc 0.32,tim_waterstone 0.32,superdry 0.32
American_Civil_War : civil_war 0.9,confederate_states_of_america 0.74,union_army 0.7,naming_the_american_civil_war 0.7,battle_of_gettysburg 0.69,american_revolutionary_war 0.69,american_revolution 0.68,war_of_1812 0.67,confederate_states_army 0.66,north_and_south 0.65,battle_of_fort_sumter 0.63,abraham_lincoln 0.62,ulysses_s_grant 0.62,world_war_i 0.61,jefferson_davis 0.61,fort_sumter 0.61,united_states_colored_troops 0.61,mexican_american_war 0.61,battle_of_antietam 0.6,confederates 0.6
University_of_Naples_Federico_II : university_of_bologna 0.61,university_of_turin 0.59,university_of_milan 0.53,university_of_padua 0.53,university_of_siena 0.52,university_of_pisa 0.52,seconda_universita_degli_studi_di_napoli 0.51,university_of_rome_la_sapienza 0.5,university_of_cagliari 0.5,university_of_trieste 0.48,polytechnic_university_of_milan 0.48,university_of_perugia 0.48,university_of_messina 0.47,university_of_genoa 0.47,scuola_normale_superiore_di_pisa 0.47,university_of_bari 0.46,university_of_sassari 0.46,university_of_milan_bicocca 0.45,university_of_insubria 0.45,university_of_ferrara 0.45
Anglican_Communion : anglicanism 0.9,episcopal_church_in_the_united_states_of_america 0.85,anglican_church_of_canada 0.81,american_episcopal_church 0.8,global_south 0.76,church_of_england 0.76,anglican_church_in_north_america 0.76,lambeth_conferences 0.74,archbishop_of_canterbury 0.74,rowan_williams 0.73,anglican_communion_network 0.73,church_of_nigeria 0.72,peter_akinola 0.71,katharine_jefferts_schori 0.71,anglo-catholicism 0.71,episcopal_polity 0.7,windsor_report 0.7,ecclesiastical_province 0.7,global_anglican_future_conference 0.69,anglican_mission_in_america 0.69
Lisa_Lassek : paul_rubell 0.52,craig_alpert 0.52,bphws 0.51,zach_staenberg 0.51,michael_corenblith 0.51,ds2rhs 0.5,conrad_buff 0.5,lee_haxall 0.5,b6fk3w 0.5,mv3x0x 0.49,stuart_wurtzel 0.49,brent_white 0.48,michele_conroy 0.48,graham_grace_walker 0.48,peter_deming 0.48,susan_shipton 0.48,nigel_phelps 0.48,christian_wagner 0.48,sanja_milkovic_hays 0.48,mark_goldblatt 0.48
Member_of_parliament : parliament_of_the_united_kingdom 0.73,parliamentary_system 0.71,british_house_of_commons 0.69,speaker_of_the_british_house_of_commons 0.63,chief_whip 0.62,backbencher 0.61,opposition 0.61,tories 0.6,committee_on_standards_privileges 0.59,member_of_the_legislative_assembly 0.59,upper_house 0.59,christopher_chope 0.59,shadow_cabinet 0.57,john_bercow 0.57,question_time 0.56,36nz 0.56,prime_minister 0.56,minister 0.55,hansard 0.55,adam_afriyie 0.55
Historic_Michigan_Boulevard_District : commission_on_chicago_landmarks 0.5,3cvr1r 0.48,farwell_building 0.47,henry_ives_cobb 0.44,4j9nhg 0.43,schenley_farms_historic_district 0.42,6_l0m_ 0.41,carbide_carbon_building 0.41,upper_east_side_historic_district 0.41,5c1tf4 0.41,roanoke_building 0.41,minolta_tower 0.41,chicago_landmark 0.4,armory_park 0.4,gar_building 0.4,ibm_plaza 0.4,old_knoxville_city_hall_knoxville_tennessee 0.4,carnegie_library_building 0.4,hyde_park_historic_districts 0.39,tower_plaza 0.39
Bradley_Cooper : zach_galifianakis 0.67,justin_bartha 0.67,ryan_reynolds 0.67,heather_graham 0.67,jessica_biel 0.66,gerard_butler 0.65,ed_helms 0.63,renee_zellweger 0.62,jennifer_aniston 0.61,matthew_mcconaughey 0.61,scarlett_johansson 0.61,todd_phillips 0.6,robert_downey_jr 0.6,amanda_seyfried 0.6,cameron_diaz 0.6,justin_long 0.6,jessica_alba 0.59,jake_gyllenhaal 0.59,paul_rudd 0.59,eva_mendes 0.59
Financial_services : public_sector 0.59,capital_market 0.52,consumer_finance 0.49,retailing 0.49,investment_banking 0.49,bfsi 0.49,telecommunication 0.49,portfolio_management 0.48,consumer_product 0.48,general_insurance 0.46,professional_services 0.46,logistics 0.45,management_consultant 0.45,technology 0.44,financial_institution 0.44,retail_banking 0.44,health_care 0.44,insurance 0.44,real_estate 0.44,hospitality 0.43
Cincinnati : old_sorrel 0.32,henry_shrady 0.3,alfred_w_ellet 0.29,william_rosecrans 0.28,horace_porter 0.28,john_alexander_mcclernand 0.28,orville_e_babcock 0.28,george_washington_custis_lee 0.28,general_of_the_armies 0.28,army_of_the_tennessee 0.27,touch_the_clouds 0.27,oliver_o_howard 0.27,statue_of_freedom 0.27,w_h_l_wallace 0.27,gvsfnd 0.27,horatio_wright 0.27,jacob_m_dickinson 0.27,simon_bolivar_buckner_sr 0.27,yevgeny_vuchetich 0.27,william_bull_nelson 0.27
Compact_Cassette : color_correction 0.56,bathroom_renovations 0.52,design_on_a_dime 0.44,designers_challenge 0.43,spice_up_my_kitchen 0.4,diy_network 0.39,ask_this_old_house 0.38,monica_pedersen 0.37,home_garden_television 0.37,design_remix 0.36,cc655l 0.35,deserving_design 0.35,hidden_potential 0.35,compact_disc 0.34,house_hunters 0.34,cassette_deck 0.34,house_detective 0.34,junk_brothers 0.34,dear_genevieve 0.33,ceiling_fan 0.33
Metropolitan_Borough_of_Rochdale : 4513n 0.7,rochdale 0.7,metropolitan_borough_of_wigan 0.69,heywood 0.68,metropolitan_borough_of_bury 0.66,metropolitan_borough_of_dudley 0.65,calderdale 0.65,metropolitan_borough_of_wirral 0.64,271187 0.63,langley_rochdale 0.63,kirklees 0.63,north_east_lincolnshire 0.63,bury 0.63,telford_and_wrekin 0.62,metropolitan_borough_of_doncaster 0.62,lancashire_county_council 0.62,blackburn_with_darwen 0.62,metropolitan_borough_of_knowsley 0.61,milton_keynes_united_kingdom 0.61,sefton_united_kingdom 0.61
Wiltshire : gloucestershire 0.8,oxfordshire 0.78,dorset 0.76,swindon 0.75,hampshire 0.74,trowbridge 0.73,marlborough 0.71,shropshire 0.71,devizes 0.7,chippenham 0.7,hertfordshire 0.7,buckinghamshire 0.69,herefordshire 0.69,salisbury 0.69,cambridgeshire 0.69,calne 0.68,malmesbury 0.67,melksham 0.67,northamptonshire 0.67,surrey 0.67
Mark_Solms : allan_hobson 0.38,sigmund_freud 0.37,boschendal 0.36,nicholas_humphrey 0.36,psychoanalysis 0.35,groot_constantia 0.35,h1fmrq 0.35,george_ellis 0.34,vergelegen 0.34,daniel_levitin 0.34,6zqmjp 0.33,karen_horney 0.33,franschhoek_western_cape 0.33,c_g_jung 0.33,5zknc9 0.32,the_interpretation_of_dreams 0.32,stellenbosch_western_cape 0.32,antonio_damasio 0.32,pierre_janet 0.32,neil_levy 0.32
Dallas_Cowboys : cowboy 0.82,tony_romo 0.79,jerry_jones 0.77,new_york_giants 0.75,wade_phillips 0.74,texas_stadium 0.73,washington_redskins 0.73,roy_williams_1980 0.72,jason_garrett 0.72,nfc_east 0.7,jason_witten 0.68,terrell_owens 0.68,arizona_cardinals 0.67,detroit_lions 0.67,terence_newman 0.67,demarcus_ware 0.67,miles_austin 0.66,valley_ranch_in_irving_texas 0.66,green_bay_packers 0.66,seattle_seahawks 0.66
General_Electric : jeffrey_r_immelt 0.68,ge_capital 0.59,ge_infrastructure 0.55,honeywell 0.55,united_technologies_corporation 0.53,nbc_universal 0.52,ge_industrial 0.51,john_g_rice 0.5,ge_energy 0.5,ge_energy_infrastructure 0.5,keith_sherin 0.5,siemens_ag 0.5,3m 0.49,ge_technology_infrastructure 0.48,caterpillar_inc 0.48,jack_welch 0.47,ge-aviation 0.46,ecomagination 0.46,westinghouse_electric 0.45,thomson-houston_electric_company 0.45
Raytheon : lockheed_martin 0.78,northrop_grumman 0.71,raytheon_integrated_defense_systems 0.71,general_dynamics 0.69,raytheon_missile_systems 0.67,l-3_communications 0.65,latvian_mobile_telephone 0.63,science_applications_international_corporation 0.6,raytheon_technical_services_company 0.6,bae_systems 0.59,raytheon_space_and_airborne_systems 0.58,missile_defense_agency 0.58,raytheon_intelligence_and_information_systems 0.57,bae_systems_inc 0.56,retro_television_network 0.55,rockwell_collins 0.55,lockheed_corporation 0.55,boeing_integrated_defense_systems 0.54,general_dynamics_advanced_information_systems 0.53,electronic_systems_center 0.53
Gerard_Philips : anton_philips 0.43,philips 0.39,menshikov_palace 0.35,frits_philips 0.35,optogan 0.34,gustaf_de_laval 0.33,henry_timken 0.33,edison_illuminating_company 0.33,siemens_halske 0.32,auergesellschaft 0.32,paul_jablochkov 0.32,armand_peugeot 0.32,zacharias_janssen 0.32,ludwig_mond 0.32,margarine_unie 0.32,walter_extra 0.32,etienne_lenoir 0.31,royal_tichelaar_makkum 0.31,philips_lumileds_lighting_company 0.31,sven_wingquist 0.31
Manhattan : old_fashioned 0.6,sidecar_cocktail 0.55,negroni 0.54,rob_roy_cocktail 0.51,mojito 0.49,sazerac 0.49,moscow_mule 0.48,rye_whisky 0.46,cointreau 0.46,old_overholt 0.45,fernet_branca 0.44,mint_julep 0.44,margarita 0.44,brandy_alexander 0.44,lillet 0.44,angostura_bitters 0.43,rosalind_peychaud 0.43,amaro_averna 0.43,ramos_gin_fizz 0.43,dark_n_stormy 0.43
Royal_Society : academy_of_medical_sciences 0.54,university_of_cambridge 0.54,martin_rees_baron_rees_of_ludlow 0.53,imperial_college_london 0.53,copley_medal 0.53,australian_academy_of_science 0.52,royal_society_of_chemistry 0.52,university_of_bristol 0.52,university_of_manchester 0.51,philosophical_transactions_of_the_royal_society 0.51,science 0.51,royal_academy_of_engineering 0.51,bwyb 0.51,biology_letters 0.51,royal_medal 0.5,martin_j_taylor 0.5,institute_of_physics 0.5,united_states_national_academy_of_sciences 0.48,lorna_casselton 0.48,university_of_leicester 0.48
Sydney : melbourne_australia 0.85,perth 0.83,brisbane 0.82,adelaide 0.8,canberra 0.76,austraila 0.72,gold_coast 0.69,wollongong 0.66,new_south_wales 0.65,hobart 0.65,cairns 0.65,newcastle 0.65,darwin 0.64,melbourne_city_centre 0.64,north_sydney_new_south_wales 0.62,australian_associated_press 0.62,townsville 0.61,queensland 0.61,south_australia 0.61,western_australia 0.61
Constitution_of_Australia : constitution_of_france 0.66,constitution_of_fiji 0.66,constitution_of_nigeria 0.64,constitution 0.64,united_states_constitution 0.62,constitution_of_india 0.62,national_assembly_of_niger 0.61,state_constitution 0.59,constitutional_amendment 0.59,constitution_of_ireland 0.59,constitution_of_malaysia 0.58,constitution_of_belize 0.57,constitution_of_zimbabwe 0.57,constitution_of_bahrain 0.57,constitution_of_pakistan 0.56,constitution_of_liberia 0.56,constitution_of_botswana 0.55,constitution_of_sri_lanka 0.55,constitution_of_the_philippines 0.55,constitution_of_bangladesh 0.55
Unitary_state : national_question 0.56,federalism 0.52,soulbury_commission 0.52,constitution_of_sri_lanka 0.52,donoughmore_constitution 0.51,indo-sri_lanka_accord 0.51,thimpu_principles 0.49,tamil_eelam 0.48,sri_lanka_tamils 0.48,thirteenth_amendment_to_the_constitution_of_pakistan 0.48,popular_sovereignty 0.47,executive_president 0.47,illankai_tamil_arasu_kachchi 0.47,jaffna_tamils 0.47,eelam 0.47,government_of_india_act_1935 0.46,s_j_v_chelvanayakam 0.46,parliament_of_sri_lanka 0.46,junius_richard_jayewardene 0.46,bandaranaike_chelvanayakam_pact 0.45
720p : lee_shallat_chemel 0.57,jeff_melman 0.55,debora_cahn 0.52,hzrk39 0.5,abc_saturday_night_movie 0.48,ch1w75 0.48,steve_robin 0.48,bethany_rooney 0.47,ch3qz2 0.47,3whb3p 0.46,bryan_spicer 0.46,wendey_stanzler 0.44,g9zmcr 0.44,karen_gaviola 0.42,joey_murphy 0.41,rob_corn 0.41,susan_nirah_jaffee 0.41,hr6qkg 0.41,ch2590 0.41,rob_hanning 0.4
Bank : the_bank_2001 0.47,commercial_bank 0.47,state_bank 0.46,national_bank 0.46,trust_company 0.45,retail_banking 0.45,financial_institution 0.42,credit_union 0.41,united_bank 0.41,federal_deposit_insurance_corporation 0.4,union_bank_of_california 0.4,first_midwest_insurance_co 0.4,citibank 0.4,central_bank 0.4,procredit_bank 0.4,suntrust_banks 0.4,bank_holding_company 0.4,chemical_banking 0.4,mortgage_loan 0.4,bb_t 0.4
Castle_Rock_Entertainment : turner_entertainment 0.6,new_line_home_entertainment 0.6,warner_bros 0.47,new_line_cinema 0.46,paramount_pictures 0.44,silver_pictures 0.43,mandate_pictures 0.43,lorimar_productions 0.43,revolution_studios 0.42,village_roadshow_pictures 0.42,new_world_communications 0.41,universal_studios 0.41,imagine_entertainment 0.41,sony_pictures_entertainment 0.4,metro-goldwyn-mayer 0.4,working_title_films 0.4,media_rights_capital 0.4,20th_century_fox 0.4,orion_pictures 0.39,new_regency_productions 0.39
Chrysalis_Records : emi 0.49,chrysalis_music 0.47,chrysalis_group 0.46,universal_music_group 0.45,virgin_records 0.45,warner_music_group 0.44,parlophone 0.42,979y1 0.42,emi_music_publishing 0.42,sanctuary_records 0.4,sony_music_entertainment 0.39,thorn_emi 0.39,warner_chappell_music 0.39,bmg_rights_management 0.39,polygram 0.39,bmg 0.39,universal_records 0.39,sony_bmg_music_entertainment 0.38,a_r 0.37,mute_records 0.36
The_International_Molinological_Society : tim_hortons 0.66,paul_d_house 0.5,dunkin_donuts 0.49,starbucks 0.49,timbits 0.47,tim_horton 0.47,coffee_time 0.45,mccafe 0.45,country_style 0.44,seattles_best_coffee 0.43,new_york_fries 0.43,always_fresh 0.43,burger_king 0.41,5c0t2t 0.41,pret_a_manger 0.4,second_cup 0.4,mcdonalds 0.4,john_betts 0.39,wendys 0.39,canadian_tire 0.39
Arthur_Janov : primal_therapy 0.62,the_primal_scream 0.59,fritz_perls 0.43,psychoanalysis 0.41,sigmund_freud 0.39,5b1whs 0.39,alice_miller_1923 0.39,heinz_kohut 0.38,donald_winnicott 0.38,stanislav_grof 0.38,c_g_jung 0.37,john_sarno 0.37,albert_goldman 0.37,jacob_l_moreno 0.36,ralph_metzner 0.36,george_weinberg 0.36,david_d_burns 0.36,melanie_thernstrom 0.35,eric_berne 0.35,george_makari 0.35
Jacques_Lacan : michel_foucault 0.68,jacques_derrida 0.68,sigmund_freud 0.67,julia_kristeva 0.67,roland_barthes 0.66,gilles_deleuze 0.63,alain_badiou 0.62,jean_lyotard 0.62,louis_althusser 0.61,jean_baudrillard 0.61,walter_benjamin 0.61,maurice_merleau-ponty 0.61,georges_bataille 0.6,slavoj_zizek 0.59,helene_cixous 0.59,martin_heidegger 0.58,c_g_jung 0.58,emmanuel_levinas 0.58,jacques_ranciere 0.57,friedrich_nietzsche 0.57
FC_Barcelona : barca 0.89,camp_nou 0.86,real_madrid 0.86,josep_guardiola 0.83,catalan_people 0.8,la_liga 0.79,valencia_cf 0.77,lionel_messi 0.74,santiago_bernabeu_stadium 0.74,atletico_de_madrid 0.74,sevilla_fc 0.74,copa_del_rey 0.74,mestalla 0.72,jose_mourinho 0.72,villarreal_cf 0.71,supercopa_de_espana 0.71,frank_rijkaard 0.7,cristiano_ronaldo 0.69,futebol_clube_do_porto 0.69,joan_laporta 0.69
Stereophonic_sound : monaural 0.55,headphones 0.53,surround_channels 0.53,subwoofer 0.52,microphone 0.5,audio_signal 0.49,rca_connector 0.49,sound_reinforcement_system 0.48,audiophile 0.47,aux_tv 0.47,analog_recording 0.47,dvd-audio 0.47,lpcm 0.47,audio_and_video_interfaces_and_connectors 0.47,high-definition_multimedia_interface 0.46,audio 0.46,toslink 0.46,gramophone_record 0.45,acoustic_bass_guitar 0.45,dolby_digital 0.45
Decca_Records : universal_music_classics_group 0.6,rca_records 0.59,mercury_records 0.57,emarcy_records 0.57,telarc_international_corporation 0.55,emi_classics 0.55,abc_classics 0.55,universal_classics_and_jazz 0.55,teldec 0.54,a_m_octone_records 0.53,polydor_records 0.53,supraphon 0.51,linn_records 0.51,geffen_records 0.51,united_artists_records 0.51,verve_records 0.5,virgin_records 0.5,philips_classics_records 0.5,collins_classics 0.49,nonesuch_records 0.49
San_Francisco_International_Airport : los_angeles_international_airport 0.75,oakland_international_airport 0.65,john_f_kennedy_airport 0.65,long_beach_municipal_airport 0.61,seattle-tacoma_international_airport 0.59,washington_dulles_international_airport 0.59,ohare_international_airport 0.59,newark_liberty_international_airport 0.57,sacramento_international_airport 0.57,george_bush_intercontinental_airport 0.57,logan_international_airport 0.57,san_diego_international_airport 0.56,mccarran_international_airport 0.56,miami_international_airport 0.56,virgin_america 0.55,hartsfield-jackson_atlanta_international_airport 0.54,dallas-fort_worth_international_airport 0.54,phoenix_sky_harbor_international_airport 0.54,salt_lake_city_international_airport 0.54,palm_springs_international_airport 0.53
Westlife : nicky_byrne 0.76,kian_egan 0.75,take_that 0.74,mark_feehily 0.73,shane_filan 0.73,boyzone 0.69,jls 0.68,robbie_williams 0.67,ronan_keating 0.66,girls_aloud 0.66,alexandra_burke 0.66,mcfly 0.65,gary_barlow 0.64,louis_walsh 0.64,shayne_ward 0.64,brian_mcfadden 0.63,ch3wbh 0.63,flying_without_wings 0.63,sugababes 0.62,lemar 0.61
Fingal : dun_laoghaire-rathdown 0.69,south_dublin 0.68,county_louth 0.67,county_leitrim 0.66,north_tipperary 0.65,sligo 0.65,county_donegal 0.64,port_laoise 0.64,balbriggan 0.64,longford 0.63,wicklow_gaa 0.63,galway 0.63,carlow 0.63,county_westmeath 0.63,cavan 0.62,county_longford 0.62,county_laois 0.62,kilkenny 0.62,county_carlow 0.62,limerick 0.62
Religion_in_ancient_Rome : christianity 0.55,pauline_christianity 0.55,luke_timothy_johnson 0.54,hellenistic_judaism 0.53,early_christianity 0.53,church_fathers 0.53,neoplatonism 0.53,ebionites 0.53,paula_fredriksen 0.51,rabbinic_judaism 0.51,hellenistic_religion 0.51,4th_century 0.5,hellenistic_philosophy 0.49,new_testament 0.49,jewish_christians 0.49,tertullian 0.49,abrahamic_religion 0.49,late_antiquity 0.49,christendom 0.49,mithraism 0.49
Queens : brooklyn 0.82,the_bronx 0.8,staten_island 0.79,astoria_queens 0.72,long_island_city_queens 0.71,far_rockaway_queens 0.71,jamaica_new_york 0.69,woodside_queens 0.68,jackson_heights_queens 0.68,corona_queens 0.68,flushing_queens 0.68,new_york_county 0.67,elmhurst_queens 0.67,maspeth_queens 0.66,bay_ridge_brooklyn 0.66,fresh_meadows_queens 0.65,richmond_hill_queens 0.65,east_new_york_brooklyn 0.65,long_island 0.65,sheepshead_bay_brooklyn 0.65
Restaurant : grille 0.56,bistro 0.54,grilling 0.54,steakhouse 0.5,raw_bar 0.5,tavern 0.5,specialty_store 0.49,delicatessen 0.49,cantina 0.47,public_house 0.45,the_melting_pot_restaurant 0.45,public_houses_in_ireland 0.45,coffeehouse 0.45,cheeseburger_in_paradise_restaurant 0.44,t_g_i_fridays 0.44,dive_bar 0.44,cafe 0.44,supper_club 0.44,p_f_changs_china_bistro 0.44,diner 0.44
Joseph_Bruno : dean_skelos 0.61,eliot_spitzer 0.6,sheldon_silver 0.6,john_l_sampson 0.58,eliot_spitzer_political_surveillance_controversy 0.58,ks76v 0.57,malcolm_arthur_smith 0.56,david_paterson 0.55,thomas_w_libous 0.55,ronald_canestrari 0.54,pedro_espada 0.53,william_howard 0.52,andrew_cuomo 0.52,warren_m_anderson 0.52,alan_hevesi 0.51,george_pataki 0.49,new_york_state_senate 0.49,george_h_winner_jr 0.49,brian_kolb 0.49,neil_breslin 0.49
The_Next_Episode : warren_g 0.6,nuthin_but_a_g_thang 0.56,nate_dogg 0.55,dr_dre 0.54,let_me_ride 0.54,g-funk 0.52,regulate 0.52,forgot_about_dre 0.51,murder_was_the_case 0.49,the_chronic 0.49,kurupt 0.48,california_love 0.48,snoop_dogg 0.48,tha_doggfather 0.47,keep_their_heads_ringin 0.47,regulate_g_funk_era 0.46,d_p_g 0.46,mista_grimm 0.46,bitches_aint_shit 0.46,battlecat 0.46
Henry_Luce : briton_hadden 0.63,alan_brinkley 0.47,harold_ross 0.45,american_century 0.44,william_f_buckley_jr 0.42,conde_montrose_nast 0.41,colliers_weekly 0.41,partisan_review 0.41,the_new_masses 0.4,walter_lippmann 0.4,siegmund_george_warburg 0.4,herbert_croly 0.4,russell_davenport 0.39,harry_elmer_barnes 0.39,william_randolph_hearst 0.39,henry_regnery 0.39,s_s_mcclure 0.38,picture_post 0.38,james_burnham 0.38,sidney_hook 0.38
Scarlett_Johansson : vanessa_johansson 0.75,jessica_biel 0.7,gwyneth_paltrow 0.7,blake_lively 0.68,eva_mendes 0.68,ryan_reynolds 0.66,mila_kunis 0.66,charlize_theron 0.65,jessica_alba 0.65,natalie_portman 0.64,samuel_l_jackson 0.64,jennifer_aniston 0.64,renee_zellweger 0.64,julia_roberts 0.63,penelope_cruz 0.63,cameron_diaz 0.62,halle_berry 0.62,robert_downey_jr 0.62,megan_fox 0.62,rachel_weisz 0.62
Australian_Senate : house_of_representatives_of_japan 0.82,senate_of_liberia 0.81,democratic_caucus_of_the_united_states_senate 0.81,united_states_house_of_representatives 0.8,united_states_senate 0.79,eerste_kamer 0.77,senate_of_fiji 0.74,belgian_senate 0.72,senate_of_burundi 0.71,democrat_party 0.69,house_of_representatives 0.69,united_states_senate_committee_on_finance 0.68,massachusetts_senate 0.68,republicans 0.67,senate 0.67,senate_of_thailand 0.67,australian_house_of_representatives 0.66,united_states_senate_committee_on_rules_and_administration 0.65,congress_u_s 0.65,united_states_house_committee_on_rules 0.64
Karl_Weierstrass : helge_von_koch 0.49,riemannian_manifold 0.43,bernhard_riemann 0.43,koch_snowflake 0.42,mandelbrot_set 0.42,diophantine_equation 0.41,alexander_grothendieck 0.41,riemannian_geometry 0.4,johann_peter_gustav_lejeune_dirichlet 0.4,newtons_method 0.4,non-euclidean_geometry 0.4,benoit_mandelbrot 0.39,budhayan 0.39,henri_poincare 0.39,nikolai_ivanovich_lobachevsky 0.39,arthur_cayley 0.38,david_ruelle 0.38,evariste_galois 0.38,jakob_bernoulli 0.38,waclaw_sierpinski 0.38
Joss_Whedon : buffy_the_vampire_slayer 0.73,avengers 0.72,buffyverse 0.68,zak_penn 0.67,the_cabin_in_the_woods 0.66,the_avengers 0.66,marvel_studios 0.64,marvel_comics 0.64,kevin_feige 0.63,avengers_earths_mightiest_heroes 0.63,whedonesque_com 0.62,serenity 0.62,dr_horribles_sing_along_blog 0.61,hulk 0.61,jon_favreau 0.6,x-men 0.6,the_incredible_hulk_2008 0.6,captain_america 0.6,j_j_abrams 0.6,iron_man 0.59
Speaker_of_the_Australian_House_of_Representatives : harry_jenkins 0.78,peter_slipper 0.76,anna_burke 0.64,alex_somlyay 0.64,david_hawker 0.59,christopher_pyne 0.58,daryl_melham 0.57,parliament_of_australia 0.57,rob_oakeshott 0.56,tony_windsor 0.55,australian_labor_party_caucus_2004-2007 0.55,division_of_scullin 0.54,neil_andrew 0.54,warren_entsch 0.54,question_time 0.54,craig_thomson 0.54,tony_abbott 0.54,national_party_of_australia 0.53,alby_schultz 0.53,liberal_party_of_australia 0.53
Isaac_Newton : albert_einstein 0.6,newtons_law_of_universal_gravitation 0.56,g_w_leibniz 0.54,a_s_eddington 0.53,philosophiae_naturalis_principia_mathematica 0.53,classical_mechanics 0.53,francis_bacon 0.52,galileo_galilei 0.52,roger_penrose 0.49,theory_of_relativity 0.49,general_relativity 0.49,charles_darwin 0.48,william_stukeley 0.48,fred_hoyle 0.48,principia_mathematica 0.47,paul_dirac 0.46,robert_hooke 0.46,james_clerk_maxwell 0.46,william_rowan_hamilton 0.46,theory_of_everything 0.46
John_Howard : kevin_rudd 0.89,kim_beazley 0.79,julia_gillard 0.79,scardinius 0.79,peter_costello 0.78,premiership_of_john_howard 0.77,tony_abbott 0.76,mark_latham 0.76,malcolm_turnbull 0.74,brendan_nelson 0.73,paul_keating 0.73,malcolm_fraser 0.72,bob_hawke 0.71,mark_vaile 0.71,alexander_downer 0.7,simon_crean 0.68,lindsay_tanner 0.68,wayne_swan 0.67,liberal_party_of_australia 0.67,australian_labor_party 0.67
Cobie_Smulders : maria_hill 0.64,clark_gregg 0.6,robin_scherbatsky 0.6,how_i_met_your_mother 0.59,alyson_hannigan 0.58,josh_radnor 0.58,neil_patrick_harris 0.54,agent_coulson 0.53,chris_evans_1981 0.53,ted_mosby 0.5,chris_hemsworth 0.5,nick_fury 0.5,barney_stinson 0.49,samuel_l_jackson 0.49,tom_hiddleston 0.49,jason_segel 0.49,lily_aldrin 0.48,kat_dennings 0.48,hawkeye 0.48,marshall_eriksen 0.47
Everybody_Hurts : r_e_m 0.51,shiny_happy_people 0.5,leona_lewis 0.47,michael_stipe 0.46,nightswimming 0.46,wishing_on_a_star 0.46,to_make_you_feel_my_love 0.45,band_aid_20 0.45,automatic_for_the_people 0.45,do_they_know_its_christmas 0.45,chasing_cars 0.44,stop_crying_your_heart_out 0.44,alexandra_burke 0.44,the_boxer 0.44,back_for_good 0.43,everybody_wants_to_rule_the_world 0.43,snow_patrol 0.43,flying_without_wings 0.43,out_of_time 0.43,country_feedback 0.43
University_of_Vienna : university_of_graz 0.61,university_of_cologne 0.54,ruprecht_karl_university_of_heidelberg 0.53,ludwig_maximilians_university_of_munich 0.53,eberhard_karls_university_of_tubingen 0.53,austrian_academy_of_sciences 0.52,georg-august_university_of_gottingen 0.52,university_of_leipzig 0.51,university_of_bonn 0.51,vienna_university_of_technology 0.51,humboldt_university_of_berlin 0.51,university_of_basel 0.5,leopold_franzens_universitat_innsbruck 0.5,university_of_hamburg 0.49,albert_ludwigs_university_of_freiburg 0.49,university_of_zurich 0.49,johann_wolfgang_goethe_university_of_frankfurt_am_main 0.49,johannes_gutenberg_university_of_mainz 0.49,university_of_wurzburg 0.49,friedrich_alexander_university_erlangen_nuremberg 0.48
Steny_Hoyer : nancy_pelosi 0.75,eric_cantor 0.69,party_whips_of_the_united_states_house_of_representatives 0.68,chris_van_hollen 0.68,john_boehner 0.66,harry_reid 0.66,jim_clyburn 0.65,kevin_mccarthy_1965 0.58,congressional_caucus 0.57,majority_leader 0.56,house_of_representatives_of_japan 0.56,mitch_mcconnell 0.55,democratic_caucus_of_the_united_states_senate 0.54,democratic_caucus_of_the_united_states_house_of_representatives 0.53,united_states_house_of_representatives 0.52,brendan_daly 0.51,white_house 0.51,blue_dog_democrat 0.51,kumar_p_barve 0.49,xavier_becerra 0.49
